,Anti-social behaviour,Bicycle theft,Burglary,Criminal damage and arson,Drugs,Location,Other crime,Other theft,Possession of weapons,Public order,Robbery,Shoplifting,Theft from the person,Time,Vehicle crime,Violence and sexual offences,Latitude,Longitude
381,5500.0,66,486.0,1655,527,Police Service of Northern Ireland,186,1027,97,82,45.0,483,44,1491001200.0,381,2752,54.59497,-5.922687
382,4957.0,186,743.0,2098,187,Northumbria Police,234,1403,92,1403,61.0,1212,101,1491001200.0,615,3646,54.967838,-1.754552
383,2818.0,112,653.0,980,215,Nottinghamshire Police,139,985,74,393,95.0,705,56,1491001200.0,677,2053,53.145769,-1.268696
384,3477.0,179,617.0,1192,279,South Wales Police,168,890,60,797,44.0,839,89,1491001200.0,748,2764,51.637363,-3.648881
385,6249.0,140,1300.0,1774,174,South Yorkshire Police,231,1394,87,816,134.0,1066,161,1491001200.0,1105,3327,53.59872,-1.461068
386,3344.0,85,553.0,925,174,Staffordshire Police,168,724,46,392,71.0,615,33,1491001200.0,467,2479,52.769868,-1.943961
387,1025.0,106,386.0,620,94,Suffolk Constabulary,74,434,24,388,16.0,411,31,1491001200.0,253,1429,52.160886,0.71043
388,2440.0,90,524.0,956,200,Surrey Police,116,741,37,664,24.0,365,46,1491001200.0,461,1497,51.407868,-0.370967
389,3867.0,229,661.0,1245,227,Sussex Police,206,1087,108,819,65.0,728,153,1491001200.0,578,2986,50.84423,-0.244128
390,3513.0,627,998.0,1757,392,Thames Valley Police,190,1640,112,414,85.0,1605,257,1491001200.0,1143,2947,51.998128,-0.985426
391,1655.0,68,368.0,377,100,Warwickshire Police,70,400,31,193,35.0,262,25,1491001200.0,353,1107,52.639577,-1.636309
392,3780.0,84,700.0,830,225,West Mercia Police,137,765,61,393,35.0,532,52,1491001200.0,397,2616,52.432283,-2.10837
393,5139.0,322,2056.0,2170,309,West Midlands Police,247,1954,125,809,555.0,1636,202,1491001200.0,2945,4645,52.594185,-1.838265
394,5045.0,192,2052.0,2726,410,West Yorkshire Police,483,2119,155,1665,215.0,1567,365,1491001200.0,2017,6476,53.944327,-1.886875
395,1543.0,72,355.0,549,69,Wiltshire Police,51,381,24,203,26.0,325,29,1491001200.0,278,1136,51.634046,-1.720719
396,3499.0,345,994.0,1445,235,Avon and Somerset Constabulary,189,1284,61,1619,126.0,1121,118,1493593200.0,1021,4095,51.415233,-2.497799
397,2083.0,96,495.0,509,67,Bedfordshire Police,30,411,42,208,66.0,324,42,1493593200.0,516,999,52.224664,-0.533857
398,2061.0,442,543.0,696,110,Cambridgeshire Constabulary,83,663,44,419,47.0,449,69,1493593200.0,483,1558,52.228485,0.136532
399,2792.0,114,361.0,753,163,Cheshire Constabulary,88,500,44,1185,23.0,604,33,1493593200.0,311,1988,53.335696,-2.028703
400,,32,27.0,24,31,City of London Police,11,140,1,20,2.0,62,64,1493593200.0,16,75,51.517577,-0.098062
401,3718.0,115,477.0,873,111,Cleveland Police,75,635,25,229,41.0,695,43,1493593200.0,304,1461,54.71119,-1.235446
402,1074.0,20,165.0,467,52,Cumbria Constabulary,48,252,15,138,8.0,234,15,1493593200.0,90,924,54.877725,-3.380599
403,3700.0,74,539.0,750,143,Derbyshire Constabulary,103,667,37,136,49.0,648,37,1493593200.0,463,1212,53.099173,-1.376719
404,3845.0,93,570.0,1305,299,Devon & Cornwall Police,191,852,91,635,46.0,705,70,1493593200.0,539,3600,50.827132,-4.543901
405,2651.0,137,396.0,585,123,Dorset Police,36,564,18,130,31.0,361,53,1493593200.0,350,1260,50.771593,-1.896978
406,1666.0,58,373.0,927,93,Durham Constabulary,124,483,28,469,10.0,365,24,1493593200.0,361,1961,54.89599,-1.732115
407,1476.0,15,152.0,369,138,Dyfed-Powys Police,62,278,21,123,,152,9,1493593200.0,110,914,52.101675,-4.059557
408,4348.0,218,1082.0,1357,305,Essex Police,278,1154,192,818,118.0,842,81,1493593200.0,1158,3765,51.636915,0.407541
409,2121.0,75,392.0,371,91,Gloucestershire Constabulary,41,326,11,118,26.0,379,26,1493593200.0,326,819,51.908526,-2.088146
410,8262.0,495,2578.0,3735,380,Greater Manchester Police,575,2162,196,3891,502.0,1589,481,1493593200.0,2572,8472,53.619073,-2.423752
411,1769.0,24,388.0,745,157,Gwent Police,120,428,20,367,17.0,385,27,1493593200.0,271,1170,51.802661,-3.210621
412,4571.0,351,1105.0,1693,282,Hampshire Constabulary,210,1227,114,1404,110.0,1237,133,1493593200.0,1082,4768,51.357251,-1.133567
413,3353.0,157,586.0,901,262,Hertfordshire Constabulary,145,749,265,430,75.0,743,96,1493593200.0,711,1936,51.776773,-0.008469
414,1394.0,175,764.0,1079,109,Humberside Police,148,715,38,418,75.0,706,39,1493593200.0,484,2312,54.103989,-0.201317
415,3744.0,173,920.0,1926,210,Kent Police,367,1442,82,853,123.0,1056,82,1493593200.0,962,5594,51.18331,0.937911
416,7126.0,179,1048.0,1699,168,Lancashire Constabulary,105,1283,40,370,79.0,779,116,1493593200.0,846,3499,53.770335,-2.474098
417,1751.0,118,866.0,847,120,Leicestershire Police,113,901,72,372,69.0,555,54,1493593200.0,883,1825,52.626506,-1.201724
418,1858.0,101,449.0,526,121,Lincolnshire Police,81,508,32,141,14.0,476,35,1493593200.0,331,939,53.051902,0.084476
419,4518.0,172,970.0,1412,572,Merseyside Police,182,950,85,812,125.0,910,169,1493593200.0,1002,3136,53.486621,-2.875002
420,20502.0,1908,5819.0,5463,2717,Metropolitan Police Service,866,9489,643,4326,2472.0,4291,4106,1493593200.0,9234,19187,51.593835,0.145888
421,1786.0,133,345.0,693,128,Norfolk Constabulary,131,475,32,438,33.0,380,40,1493593200.0,186,1727,52.745153,0.946326
422,1742.0,49,307.0,660,93,North Wales Police,76,444,21,138,25.0,372,25,1493593200.0,193,1552,53.31958,-3.811975
423,2632.0,103,286.0,517,113,North Yorkshire Police,91,401,14,127,17.0,382,31,1493593200.0,230,1067,54.113705,-2.513759
424,2683.0,86,450.0,613,107,Northamptonshire Police,91,500,48,109,77.0,480,51,1493593200.0,456,1592,52.502162,-0.690547
425,5996.0,100,538.0,1570,481,Police Service of Northern Ireland,292,1111,95,91,40.0,488,29,1493593200.0,337,3150,54.59497,-5.922687
426,5266.0,216,771.0,1993,248,Northumbria Police,330,1472,92,1633,57.0,1277,107,1493593200.0,643,3889,54.967838,-1.754552
427,2887.0,133,779.0,1067,240,Nottinghamshire Police,138,1177,83,492,70.0,862,56,1493593200.0,821,2589,53.145769,-1.268696
428,3372.0,197,742.0,1214,292,South Wales Police,207,894,43,877,39.0,929,94,1493593200.0,763,3024,51.637363,-3.648881
429,6023.0,111,1395.0,1648,173,South Yorkshire Police,274,1392,106,923,147.0,1044,131,1493593200.0,1254,3527,53.59872,-1.461068
430,3431.0,108,529.0,1004,193,Staffordshire Police,183,738,51,398,63.0,617,25,1493593200.0,446,2937,52.769868,-1.943961
431,1054.0,113,321.0,736,88,Suffolk Constabulary,97,450,33,421,18.0,402,24,1493593200.0,256,1616,52.160886,0.71043
432,2357.0,135,542.0,877,168,Surrey Police,148,773,53,680,29.0,430,42,1493593200.0,504,1689,51.407868,-0.370967
433,4100.0,256,683.0,1121,230,Sussex Police,188,1055,114,938,62.0,688,120,1493593200.0,496,3063,50.84423,-0.244128
434,3526.0,709,1130.0,1671,383,Thames Valley Police,207,1858,137,417,98.0,1688,303,1493593200.0,1249,3161,51.998128,-0.985426
435,1620.0,94,342.0,389,78,Warwickshire Police,65,406,36,215,35.0,281,27,1493593200.0,356,1176,52.639577,-1.636309
436,3995.0,114,735.0,946,208,West Mercia Police,146,847,73,458,48.0,525,42,1493593200.0,483,2906,52.432283,-2.10837
437,5300.0,339,2198.0,2281,346,West Midlands Police,262,2178,162,1072,616.0,1780,226,1493593200.0,3030,5451,52.594185,-1.838265
438,5176.0,258,2016.0,2789,500,West Yorkshire Police,588,2205,148,1896,251.0,1559,346,1493593200.0,2071,7200,53.944327,-1.886875
439,1563.0,74,346.0,501,70,Wiltshire Police,51,354,29,190,30.0,348,33,1493593200.0,262,1259,51.634046,-1.720719
440,3742.0,382,1073.0,1465,227,Avon and Somerset Constabulary,173,1375,74,1722,116.0,966,125,1496271600.0,1104,4053,51.415233,-2.497799
441,2285.0,77,442.0,462,56,Bedfordshire Police,34,446,32,218,50.0,315,42,1496271600.0,417,1063,52.224664,-0.533857
442,2208.0,495,473.0,713,100,Cambridgeshire Constabulary,73,729,51,405,55.0,449,82,1496271600.0,590,1675,52.228485,0.136532
443,2830.0,120,337.0,759,156,Cheshire Constabulary,96,489,35,973,15.0,610,36,1496271600.0,260,1964,53.335696,-2.028703
444,151.0,36,13.0,16,20,City of London Police,9,113,4,24,8.0,56,48,1496271600.0,13,95,51.517577,-0.098062
445,3628.0,84,402.0,753,110,Cleveland Police,78,526,32,253,34.0,646,49,1496271600.0,318,1361,54.71119,-1.235446
446,1034.0,29,154.0,426,70,Cumbria Constabulary,58,212,18,131,6.0,263,15,1496271600.0,75,813,54.877725,-3.380599
447,3698.0,86,498.0,712,155,Derbyshire Constabulary,102,633,32,136,53.0,566,45,1496271600.0,463,1274,53.099173,-1.376719
448,3966.0,78,560.0,1288,291,Devon & Cornwall Police,173,964,71,686,39.0,732,89,1496271600.0,465,3563,50.827132,-4.543901
449,2819.0,121,331.0,603,138,Dorset Police,81,631,33,174,21.0,385,59,1496271600.0,303,1306,50.771593,-1.896978
450,1807.0,51,418.0,861,78,Durham Constabulary,142,485,14,454,15.0,365,32,1496271600.0,332,1950,54.89599,-1.732115
451,1412.0,16,147.0,343,152,Dyfed-Powys Police,29,266,21,130,4.0,155,5,1496271600.0,100,975,52.101675,-4.059557
452,4567.0,274,988.0,1234,249,Essex Police,229,1086,184,917,107.0,860,93,1496271600.0,1148,3782,51.636915,0.407541
453,2223.0,66,293.0,382,77,Gloucestershire Constabulary,43,341,21,122,38.0,287,21,1496271600.0,296,852,51.908526,-2.088146
454,7321.0,456,2794.0,3281,393,Greater Manchester Police,632,2168,236,4836,547.0,1458,462,1496271600.0,2413,9400,53.619073,-2.423752
455,1724.0,28,348.0,654,106,Gwent Police,109,449,18,341,19.0,389,34,1496271600.0,255,1167,51.802661,-3.210621
456,4405.0,427,1026.0,1620,323,Hampshire Constabulary,261,1186,139,1419,83.0,1079,97,1496271600.0,977,4976,51.357251,-1.133567
457,3552.0,145,527.0,875,228,Hertfordshire Constabulary,185,846,287,544,56.0,686,91,1496271600.0,623,1897,51.776773,-0.008469
458,1622.0,153,726.0,976,110,Humberside Police,168,704,36,403,76.0,669,33,1496271600.0,509,2412,54.103989,-0.201317
459,3745.0,201,996.0,2003,204,Kent Police,431,1432,61,1221,139.0,940,76,1496271600.0,1012,6930,51.18331,0.937911
460,6632.0,147,1020.0,1525,169,Lancashire Constabulary,118,1209,50,394,78.0,794,116,1496271600.0,787,3364,53.770335,-2.474098
461,1742.0,119,705.0,760,118,Leicestershire Police,139,918,68,397,62.0,557,63,1496271600.0,916,2038,52.626506,-1.201724
462,1465.0,104,422.0,470,99,Lincolnshire Police,92,467,29,144,16.0,455,18,1496271600.0,364,878,53.051902,0.084476
463,4467.0,180,1002.0,1437,492,Merseyside Police,193,1018,69,776,113.0,749,115,1496271600.0,1102,3229,53.486621,-2.875002
464,19347.0,2302,5735.0,5302,2474,Metropolitan Police Service,836,9020,606,4983,2485.0,3734,4044,1496271600.0,8419,19686,51.593835,0.145888
465,1824.0,107,291.0,585,157,Norfolk Constabulary,118,437,45,426,33.0,411,36,1496271600.0,236,1798,52.745153,0.946326
466,1662.0,60,301.0,638,116,North Wales Police,89,438,23,176,18.0,357,27,1496271600.0,197,1602,53.31958,-3.811975
467,2564.0,109,333.0,472,130,North Yorkshire Police,68,382,19,153,13.0,343,26,1496271600.0,212,992,54.113705,-2.513759
468,2420.0,94,474.0,532,89,Northamptonshire Police,85,522,51,138,87.0,407,45,1496271600.0,561,1545,52.502162,-0.690547
469,5626.0,62,546.0,1410,434,Police Service of Northern Ireland,202,1039,83,102,46.0,455,46,1496271600.0,296,3148,54.59497,-5.922687
470,4860.0,225,824.0,1753,239,Northumbria Police,303,1417,95,1748,66.0,1154,102,1496271600.0,618,4019,54.967838,-1.754552
471,3017.0,108,703.0,986,245,Nottinghamshire Police,138,1034,67,538,63.0,784,45,1496271600.0,767,2551,53.145769,-1.268696
472,3559.0,159,599.0,1127,259,South Wales Police,208,970,62,907,37.0,866,135,1496271600.0,610,2934,51.637363,-3.648881
473,5789.0,120,1247.0,1558,175,South Yorkshire Police,256,1431,113,1067,173.0,972,185,1496271600.0,1231,3696,53.59872,-1.461068
474,3385.0,97,479.0,855,118,Staffordshire Police,135,693,59,356,71.0,542,33,1496271600.0,425,2499,52.769868,-1.943961
475,1169.0,139,308.0,629,96,Suffolk Constabulary,105,452,25,420,31.0,350,44,1496271600.0,360,1764,52.160886,0.71043
476,2594.0,153,495.0,899,209,Surrey Police,144,754,50,801,25.0,406,46,1496271600.0,441,1894,51.407868,-0.370967
477,4159.0,304,750.0,1263,238,Sussex Police,166,1162,113,998,80.0,763,154,1496271600.0,527,3370,50.84423,-0.244128
478,3786.0,671,1181.0,1641,378,Thames Valley Police,208,1942,138,463,103.0,1424,333,1496271600.0,1200,3400,51.998128,-0.985426
479,1747.0,90,345.0,371,89,Warwickshire Police,75,420,27,221,26.0,309,27,1496271600.0,363,1180,52.639577,-1.636309
480,4237.0,88,689.0,891,194,West Mercia Police,160,789,61,438,40.0,601,54,1496271600.0,445,2772,52.432283,-2.10837
481,5242.0,331,2108.0,2086,311,West Midlands Police,279,2066,167,1134,532.0,1652,210,1496271600.0,2906,5520,52.594185,-1.838265
482,5160.0,265,2037.0,2689,439,West Yorkshire Police,517,2344,157,1906,232.0,1438,293,1496271600.0,2112,6976,53.944327,-1.886875
483,1632.0,105,315.0,504,87,Wiltshire Police,78,387,32,238,27.0,369,38,1496271600.0,305,1263,51.634046,-1.720719
484,4022.0,372,1072.0,1316,201,Avon and Somerset Constabulary,166,1369,64,1937,122.0,925,108,1498863600.0,1080,4372,51.415233,-2.497799
485,2258.0,98,381.0,467,71,Bedfordshire Police,21,390,26,219,46.0,328,31,1498863600.0,500,1044,52.224664,-0.533857
486,2182.0,428,520.0,740,136,Cambridgeshire Constabulary,94,726,42,403,54.0,452,95,1498863600.0,567,1614,52.228485,0.136532
487,2853.0,142,324.0,816,179,Cheshire Constabulary,108,534,25,1202,27.0,603,46,1498863600.0,262,2030,53.335696,-2.028703
488,139.0,39,12.0,12,32,City of London Police,21,115,6,19,7.0,39,43,1498863600.0,6,76,51.517577,-0.098062
489,3856.0,101,446.0,757,117,Cleveland Police,60,550,34,235,36.0,661,45,1498863600.0,321,1360,54.71119,-1.235446
490,1025.0,32,171.0,416,72,Cumbria Constabulary,51,222,20,154,2.0,260,27,1498863600.0,99,888,54.877725,-3.380599
491,3813.0,122,491.0,728,211,Derbyshire Constabulary,72,728,47,140,62.0,557,49,1498863600.0,522,1271,53.099173,-1.376719
492,4143.0,86,541.0,1424,315,Devon & Cornwall Police,159,1121,85,760,40.0,700,133,1498863600.0,528,3861,50.827132,-4.543901
493,3055.0,144,379.0,526,115,Dorset Police,53,638,25,181,30.0,376,67,1498863600.0,308,1479,50.771593,-1.896978
494,1875.0,35,415.0,880,132,Durham Constabulary,141,458,33,497,27.0,373,23,1498863600.0,305,2144,54.89599,-1.732115
495,1523.0,24,142.0,432,156,Dyfed-Powys Police,47,323,14,123,,174,5,1498863600.0,119,968,52.101675,-4.059557
496,5005.0,325,1131.0,1353,277,Essex Police,243,1275,153,969,157.0,839,118,1498863600.0,1244,4127,51.636915,0.407541
497,2201.0,60,352.0,375,93,Gloucestershire Constabulary,44,411,22,133,25.0,315,41,1498863600.0,346,828,51.908526,-2.088146
498,6347.0,459,2902.0,3522,398,Greater Manchester Police,746,2371,284,5426,524.0,1417,483,1498863600.0,2575,10026,53.619073,-2.423752
499,1838.0,65,304.0,790,143,Gwent Police,92,478,31,384,15.0,359,43,1498863600.0,310,1200,51.802661,-3.210621
500,4613.0,414,981.0,1604,303,Hampshire Constabulary,251,1119,131,1413,86.0,1223,113,1498863600.0,930,5169,51.357251,-1.133567
501,3633.0,159,617.0,840,276,Hertfordshire Constabulary,155,841,263,527,62.0,650,92,1498863600.0,694,1978,51.776773,-0.008469
502,1704.0,239,810.0,1049,95,Humberside Police,164,742,38,395,49.0,771,78,1498863600.0,561,2289,54.103989,-0.201317
503,4020.0,237,1092.0,2064,234,Kent Police,445,1518,89,1596,165.0,1005,89,1498863600.0,1027,7534,51.18331,0.937911
504,7052.0,179,1047.0,1600,179,Lancashire Constabulary,119,1306,50,399,78.0,800,131,1498863600.0,830,3611,53.770335,-2.474098
505,1897.0,150,735.0,834,130,Leicestershire Police,136,905,55,406,71.0,606,47,1498863600.0,885,1925,52.626506,-1.201724
506,2100.0,111,417.0,515,134,Lincolnshire Police,65,480,21,127,21.0,495,20,1498863600.0,357,982,53.051902,0.084476
507,4819.0,186,927.0,1517,585,Merseyside Police,196,930,66,752,160.0,754,139,1498863600.0,1040,3314,53.486621,-2.875002
508,22892.0,2501,6240.0,5444,2881,Metropolitan Police Service,892,9646,619,4947,2932.0,4098,4489,1498863600.0,8681,20030,51.593835,0.145888
509,1846.0,174,370.0,654,173,Norfolk Constabulary,175,500,36,496,29.0,354,48,1498863600.0,219,1831,52.745153,0.946326
510,1611.0,76,322.0,712,117,North Wales Police,90,445,21,196,15.0,335,31,1498863600.0,165,1852,53.31958,-3.811975
511,2781.0,107,310.0,511,136,North Yorkshire Police,57,439,18,127,12.0,401,41,1498863600.0,208,1023,54.113705,-2.513759
512,2761.0,85,478.0,600,96,Northamptonshire Police,104,541,38,136,63.0,361,51,1498863600.0,550,1529,52.502162,-0.690547
513,6074.0,66,584.0,1597,517,Police Service of Northern Ireland,205,1111,73,93,45.0,439,40,1498863600.0,327,3095,54.59497,-5.922687
514,4857.0,190,818.0,2141,234,Northumbria Police,281,1465,114,1977,48.0,1194,197,1498863600.0,707,4357,54.967838,-1.754552
515,3247.0,149,771.0,1033,205,Nottinghamshire Police,139,1074,86,536,70.0,838,47,1498863600.0,671,2735,53.145769,-1.268696
516,3513.0,221,576.0,1149,302,South Wales Police,218,918,61,1009,43.0,905,108,1498863600.0,719,3073,51.637363,-3.648881
517,5653.0,143,1180.0,1531,166,South Yorkshire Police,309,1354,105,1066,153.0,996,126,1498863600.0,1258,3757,53.59872,-1.461068
518,3814.0,89,438.0,842,156,Staffordshire Police,176,758,63,410,62.0,604,23,1498863600.0,349,3030,52.769868,-1.943961
519,1171.0,138,341.0,634,211,Suffolk Constabulary,103,453,42,512,39.0,318,45,1498863600.0,309,1752,52.160886,0.71043
520,2637.0,138,538.0,886,179,Surrey Police,161,860,44,777,27.0,349,47,1498863600.0,434,1982,51.407868,-0.370967
521,4168.0,267,702.0,1239,336,Sussex Police,212,1255,120,972,89.0,735,135,1498863600.0,597,3439,50.84423,-0.244128
522,2839.0,823,1103.0,1610,393,Thames Valley Police,209,1732,138,373,135.0,1313,383,1498863600.0,1195,3473,51.998128,-0.985426
523,1708.0,129,345.0,383,76,Warwickshire Police,44,380,31,205,38.0,263,32,1498863600.0,416,1224,52.639577,-1.636309
524,4509.0,124,628.0,975,187,West Mercia Police,155,898,66,478,52.0,632,44,1498863600.0,529,2892,52.432283,-2.10837
525,5978.0,380,2105.0,2316,351,West Midlands Police,291,2039,171,1047,601.0,1582,233,1498863600.0,2955,5435,52.594185,-1.838265
526,5955.0,243,2231.0,2714,480,West Yorkshire Police,526,2399,158,2091,247.0,1561,333,1498863600.0,2096,7503,53.944327,-1.886875
527,1667.0,87,290.0,520,71,Wiltshire Police,81,347,27,256,25.0,398,36,1498863600.0,299,1406,51.634046,-1.720719
528,3472.0,327,1080.0,1411,196,Avon and Somerset Constabulary,173,1244,66,1690,134.0,902,92,1501542000.0,1077,3878,51.415233,-2.497799
529,2017.0,77,376.0,500,67,Bedfordshire Police,34,418,35,175,40.0,327,69,1501542000.0,457,950,52.224664,-0.533857
530,1736.0,432,529.0,646,113,Cambridgeshire Constabulary,72,714,51,332,40.0,441,86,1501542000.0,462,1507,52.228485,0.136532
531,2825.0,120,441.0,797,288,Cheshire Constabulary,103,598,44,1356,32.0,650,52,1501542000.0,265,2223,53.335696,-2.028703
532,168.0,52,23.0,18,27,City of London Police,10,123,5,18,5.0,61,52,1501542000.0,11,95,51.517577,-0.098062
533,3817.0,82,492.0,803,110,Cleveland Police,69,562,29,215,28.0,640,51,1501542000.0,418,1362,54.71119,-1.235446
534,1002.0,22,186.0,441,65,Cumbria Constabulary,49,237,14,125,5.0,239,15,1501542000.0,113,773,54.877725,-3.380599
535,3648.0,89,500.0,720,189,Derbyshire Constabulary,73,603,37,150,51.0,560,48,1501542000.0,517,1167,53.099173,-1.376719
536,4478.0,71,521.0,1354,362,Devon & Cornwall Police,152,1188,92,704,40.0,713,117,1501542000.0,610,3611,50.827132,-4.543901
537,2888.0,154,419.0,647,119,Dorset Police,48,608,25,191,24.0,369,47,1501542000.0,311,1567,50.771593,-1.896978
538,1899.0,52,390.0,880,76,Durham Constabulary,152,511,22,484,19.0,396,30,1501542000.0,294,1961,54.89599,-1.732115
539,1408.0,22,191.0,336,158,Dyfed-Powys Police,40,319,19,104,4.0,145,8,1501542000.0,104,882,52.101675,-4.059557
540,4684.0,220,1099.0,1350,226,Essex Police,208,1145,158,898,139.0,931,166,1501542000.0,1217,3704,51.636915,0.407541
541,2150.0,82,298.0,367,90,Gloucestershire Constabulary,39,310,28,134,24.0,338,27,1501542000.0,381,852,51.908526,-2.088146
542,6284.0,429,2856.0,3659,343,Greater Manchester Police,662,2202,248,4930,557.0,1480,432,1501542000.0,2678,8898,53.619073,-2.423752
543,1853.0,32,306.0,779,127,Gwent Police,92,457,19,413,29.0,314,39,1501542000.0,294,1160,51.802661,-3.210621
544,4866.0,413,1130.0,1644,308,Hampshire Constabulary,224,1261,129,1322,80.0,1210,129,1501542000.0,931,4636,51.357251,-1.133567
545,3244.0,157,576.0,822,247,Hertfordshire Constabulary,146,726,264,467,63.0,697,62,1501542000.0,631,1750,51.776773,-0.008469
546,1842.0,175,812.0,1075,75,Humberside Police,156,755,43,398,78.0,725,52,1501542000.0,510,2189,54.103989,-0.201317
547,3757.0,202,999.0,1959,223,Kent Police,398,1450,93,1416,124.0,1051,76,1501542000.0,1068,6346,51.18331,0.937911
548,6981.0,161,1008.0,1572,150,Lancashire Constabulary,128,1294,50,412,70.0,820,186,1501542000.0,753,3502,53.770335,-2.474098
549,2197.0,198,725.0,821,108,Leicestershire Police,130,854,59,325,71.0,587,45,1501542000.0,868,1820,52.626506,-1.201724
550,2120.0,103,379.0,461,151,Lincolnshire Police,59,480,48,135,18.0,479,30,1501542000.0,287,950,53.051902,0.084476
551,4528.0,213,986.0,1431,609,Merseyside Police,203,979,70,659,116.0,773,138,1501542000.0,856,2927,53.486621,-2.875002
552,22061.0,2273,6279.0,5175,3106,Metropolitan Police Service,943,9560,656,4206,2715.0,4271,4216,1501542000.0,8673,17754,51.593835,0.145888
553,1775.0,180,386.0,644,158,Norfolk Constabulary,120,517,31,482,34.0,401,51,1501542000.0,236,1664,52.745153,0.946326
554,1573.0,61,299.0,633,111,North Wales Police,109,528,17,253,16.0,394,25,1501542000.0,201,1747,53.31958,-3.811975
555,2655.0,102,283.0,549,128,North Yorkshire Police,44,411,20,131,24.0,420,22,1501542000.0,181,1042,54.113705,-2.513759
556,1692.0,101,492.0,598,95,Northamptonshire Police,66,532,37,129,95.0,388,54,1501542000.0,611,1521,52.502162,-0.690547
557,5737.0,88,488.0,1711,523,Police Service of Northern Ireland,224,1105,74,91,51.0,494,27,1501542000.0,259,2962,54.59497,-5.922687
558,5274.0,277,818.0,2232,256,Northumbria Police,301,1567,100,2079,54.0,1386,260,1501542000.0,773,4352,54.967838,-1.754552
559,3164.0,112,602.0,1044,230,Nottinghamshire Police,135,1122,64,507,85.0,803,41,1501542000.0,712,2325,53.145769,-1.268696
560,3321.0,225,694.0,1155,286,South Wales Police,186,920,46,950,34.0,926,87,1501542000.0,784,2951,51.637363,-3.648881
561,5589.0,125,1362.0,1812,178,South Yorkshire Police,327,1399,110,1319,143.0,1117,163,1501542000.0,1094,3934,53.59872,-1.461068
562,3645.0,189,603.0,1126,217,Staffordshire Police,151,1052,58,417,75.0,836,41,1501542000.0,558,2743,52.769868,-1.943961
563,1175.0,104,381.0,637,139,Suffolk Constabulary,101,429,32,415,32.0,359,49,1501542000.0,274,1473,52.160886,0.71043
564,2261.0,131,572.0,795,174,Surrey Police,172,836,40,700,26.0,402,34,1501542000.0,450,1662,51.407868,-0.370967
565,4120.0,316,658.0,1263,313,Sussex Police,224,1221,106,880,85.0,709,153,1501542000.0,630,3304,50.84423,-0.244128
566,3635.0,716,1075.0,1756,445,Thames Valley Police,211,1909,109,398,117.0,1397,373,1501542000.0,1465,3047,51.998128,-0.985426
567,1605.0,137,352.0,412,70,Warwickshire Police,74,360,25,194,31.0,333,40,1501542000.0,503,1113,52.639577,-1.636309
568,4351.0,129,635.0,891,194,West Mercia Police,124,790,53,395,67.0,619,64,1501542000.0,509,2525,52.432283,-2.10837
569,5719.0,339,2152.0,2260,305,West Midlands Police,286,2189,130,958,661.0,1667,222,1501542000.0,3132,4951,52.594185,-1.838265
570,6175.0,300,2319.0,2616,459,West Yorkshire Police,544,2305,134,1815,235.0,1414,371,1501542000.0,1879,6758,53.944327,-1.886875
571,1639.0,95,334.0,525,110,Wiltshire Police,72,376,20,203,17.0,388,29,1501542000.0,341,1274,51.634046,-1.720719
572,2620.0,282,900.0,1183,218,Avon and Somerset Constabulary,180,1185,70,1564,133.0,973,79,1504220400.0,996,3891,51.415233,-2.497799
573,1838.0,91,470.0,405,63,Bedfordshire Police,28,400,35,177,67.0,283,56,1504220400.0,480,995,52.224664,-0.533857
574,1611.0,335,546.0,691,101,Cambridgeshire Constabulary,74,694,31,342,47.0,477,77,1504220400.0,629,1471,52.228485,0.136532
575,2350.0,128,359.0,759,142,Cheshire Constabulary,117,534,32,1242,20.0,588,42,1504220400.0,397,2052,53.335696,-2.028703
576,112.0,36,25.0,18,29,City of London Police,14,99,8,22,2.0,65,27,1504220400.0,20,98,51.517577,-0.098062
577,3597.0,98,488.0,759,98,Cleveland Police,65,532,25,222,39.0,676,49,1504220400.0,402,1266,54.71119,-1.235446
578,1002.0,28,184.0,387,61,Cumbria Constabulary,29,225,21,135,6.0,223,12,1504220400.0,101,827,54.877725,-3.380599
579,3186.0,91,497.0,640,177,Derbyshire Constabulary,70,597,53,109,49.0,498,51,1504220400.0,524,1241,53.099173,-1.376719
580,3702.0,78,507.0,1274,311,Devon & Cornwall Police,233,998,68,599,39.0,683,90,1504220400.0,580,3405,50.827132,-4.543901
581,2470.0,139,400.0,532,134,Dorset Police,53,616,20,145,27.0,384,50,1504220400.0,339,1268,50.771593,-1.896978
582,1597.0,36,398.0,808,108,Durham Constabulary,137,467,19,399,21.0,339,34,1504220400.0,282,1756,54.89599,-1.732115
583,1111.0,19,125.0,349,148,Dyfed-Powys Police,55,260,8,86,6.0,144,14,1504220400.0,88,864,52.101675,-4.059557
584,4076.0,259,1029.0,1245,219,Essex Police,248,960,148,896,102.0,816,163,1504220400.0,1255,3690,51.636915,0.407541
585,1733.0,74,308.0,370,96,Gloucestershire Constabulary,37,339,18,115,23.0,265,28,1504220400.0,401,842,51.908526,-2.088146
586,5110.0,393,2692.0,3307,345,Greater Manchester Police,599,2100,230,4444,535.0,1234,457,1504220400.0,2818,8504,53.619073,-2.423752
587,1510.0,26,300.0,708,122,Gwent Police,91,426,15,362,22.0,337,30,1504220400.0,356,1032,51.802661,-3.210621
